1,1,4230,32000000
1,2,3364,32000000
1,4,3363,32000000
1,8,3972,32000000
1,16,5087,32000000
1,32,5027,32000000
2,1,20994,32000000
2,2,18889,32000000
2,4,17318,32000000
2,8,14092,32000000
2,16,11774,32000000
2,32,13216,32000000
4,1,25483,32000000
4,2,26154,32000000
4,4,27246,32000000
4,8,26310,32000000
4,16,22565,32000000
4,32,19554,32000000
8,1,43601,32000000
8,2,48063,32000000
8,4,58919,32000000
8,8,52256,32000000
8,16,40168,32000000
8,32,31527,32000000
16,1,77813,32000000
16,2,90290,32000000
16,4,119838,32000000
16,8,110531,32000000
16,16,71946,32000000
16,32,51827,32000000
32,1,145586,32000000
32,2,167928,32000000
32,4,219261,32000000
32,8,219196,32000000
32,16,143137,32000000
32,32,94081,32000000
