1,1,38,1000000
1,2,24,1000000
1,4,27,1000000
1,8,25,1000000
1,16,28,1000000
1,32,25,1000000
2,1,109,1999990
2,2,91,1999990
2,4,116,1999990
2,8,105,1999990
2,16,100,1999990
2,32,87,1999990
4,1,141,3999940
4,2,145,3999940
4,4,146,3999940
4,8,316,3999940
4,16,316,3999940
4,32,173,3999940
8,1,249,7999720
8,2,487,7999720
8,4,323,7999720
8,8,327,7999720
8,16,359,7999720
8,32,296,7999720
16,1,542,15998800
16,2,560,15998800
16,4,624,15998800
16,8,876,15998800
16,16,759,15998800
16,32,796,15998800
32,1,1030,31995040
32,2,1340,31995040
32,4,1365,31995040
32,8,2145,31995040
32,16,1956,31995040
32,32,1229,31995040
