1,1,37,1000000
1,2,24,1000000
1,4,16,1000000
1,8,17,1000000
1,16,18,1000000
1,32,15,1000000
2,1,24,1999990
2,2,27,1999990
2,4,37,1999990
2,8,54,1999990
2,16,40,1999990
2,32,26,1999990
4,1,27,3999940
4,2,151,3999940
4,4,27,3999940
4,8,29,3999940
4,16,118,3999940
4,32,119,3999940
8,1,48,7999720
8,2,179,7999720
8,4,49,7999720
8,8,48,7999720
8,16,121,7999720
8,32,68,7999720
16,1,384,15998800
16,2,119,15998800
16,4,363,15998800
16,8,82,15998800
16,16,209,15998800
16,32,209,15998800
32,1,115,31995040
32,2,272,31995040
32,4,453,31995040
32,8,590,31995040
32,16,288,31995040
32,32,418,31995040
