1,1,2821,32000000
1,2,2638,32000000
1,4,2524,32000000
1,8,3096,32000000
1,16,1996,32000000
1,32,3362,32000000
2,1,3204,32000000
2,2,2748,32000000
2,4,2764,32000000
2,8,2211,32000000
2,16,2153,32000000
2,32,2871,32000000
4,1,3156,32000000
4,2,2637,32000000
4,4,2901,32000000
4,8,3313,32000000
4,16,2947,32000000
4,32,2027,32000000
8,1,4820,32000000
8,2,3770,32000000
8,4,3015,32000000
8,8,4002,32000000
8,16,4254,32000000
8,32,3456,32000000
16,1,4933,32000000
16,2,7495,32000000
16,4,4225,32000000
16,8,3898,32000000
16,16,5437,32000000
16,32,5073,32000000
32,1,16367,32000000
32,2,11135,32000000
32,4,9322,32000000
32,8,8068,32000000
32,16,6730,32000000
32,32,10577,32000000
